Fecha;Representante;CódigoProducto;Unidades
24/01/2014;María Fernández Vásquez;B00F3J4B5S;3
25/01/2014;Jorge Huamán Flores;B00NQGP42Y;2
25/01/2014;Daniela Chávez Paredes;B01KBH547A;1
25/01/2014;José López Ramírez;B00K15Q2B0;3
25/01/2014;Ana María Vargas Vega;B01DZJFWNC;2
26/01/2014;Carlos Rivera Castro;B00NQGP42Y;2
26/01/2014;Brenda Torres Sánchez;B00K15Q2B0;2
26/01/2014;Luis González López;B00K15Q2B0;1
26/01/2014;Patricia Medina Vargas;B018IZ0SWI;7
26/01/2014;Miguel García Huamán;B01LQV1YHO;1
26/01/2014;Adriana Rodríguez Silva;B01KBH547A;20
27/01/2014;Juan Pérez Torres;B018IZ0SWI;20
27/01/2014;Sofía Castro Salinas;B01KBH547A;2
27/01/2014;Diego Morales López;B00K15Q2B0;1
27/01/2014;Mariana Rojas Medina;B00F3J4B5S;1
28/01/2014;Alejandro Soto Vásquez;B00F3J4B5S;2
28/01/2014;Valentina Vega Ruiz;B00K15Q2B0;1
28/01/2014;Andrés Gómez Paredes;B00F3J4B5S;3
29/01/2014;Gabriela Huamán Castro;B00NQGP42Y;1
29/01/2014;Eduardo Torres López;B00NQGP42Y;2
29/01/2014;Carla Medina Vargas;B00NQGP42Y;22
30/01/2014;Ricardo García Huerta;B018IZ0SWI;3
30/01/2014;Laura Chávez Castro;B00K15Q2B0;1
30/01/2014;Carlos González Ruiz;B018IZ0SWI;3
31/01/2014;Silvia Castro López;B018IZ0SWI;3
31/01/2014;Juan Carlos Rodríguez Medina;B00NQGP42Y;2
31/01/2014;Luisa Fernández Vargas;B00K15Q2B0;2
31/01/2014;José Morales Huamán;B00K15Q2B0;2
31/01/2014;Ana Paula Rojas Torres;B01KBH547A;1
31/01/2014;Miguel Ángel Vega López;B018IZ0SWI;3
1/02/2014;Carla García Castro;B00NQGP42Y;1
1/02/2014;Eduardo Castro Ruiz;B01DZJFWNC;2
1/02/2014;Gabriela Ramírez Vargas;B00F3J4B5S;3
1/02/2014;Ricardo Gómez Medina;B015YCRYZM;3
1/02/2014;Laura Flores Salazar;B018IZ0SWI;1
1/02/2014;Juan Carlos Rodríguez Delgado;B00NQGP42Y;1
1/02/2014;Luisa García Vásquez;B00K15Q2B0;2
2/02/2014;Ana María Castro Salinas;B018IZ0SWI;1
2/02/2014;Ana María Castro Chávez;B00K15Q2B0;3
3/02/2014;Laura Flores Guzmán;B00NQGP42Y;1
3/02/2014;Carlos González Medina;B01LQV1YHO;2
3/02/2014;Miguel Ángel Vega Torres;B016381QZA;1
3/02/2014;Rafaela Cáceres Castro;B01KBH547A;1
4/02/2014;Carla Fernández Mendoza;B00F3J4B5S;3
4/02/2014;Adrián Vega Ruiz;B01EYT1URO;2
4/02/2014;Diego Morales Castro;B015YCRYZM;1
5/02/2014;Ricardo Gómez Vargas;B00F3J4B5S;3
5/02/2014;Silvia Ramírez Rivera;B01LQV1YHO;2
5/02/2014;Eduardo Cáceres Salazar;B016B7INC2;2
6/02/2014;Juan Carlos Rodríguez Huamán;B018IZ0SWI;3
6/02/2014;Gabriela Rojas Huerta;B00J0O5J4Y;2
6/02/2014;Verónica Quispe Rodríguez;B018IZ0SWI;1
6/02/2014;Julio Vargas López;B01EYT1URO;3
6/02/2014;Valentina Torres Vega;B01EYT1URO;1
6/02/2014;Mariana Ruiz Cruz;B01LQV1YHO;1
6/02/2014;Luis Torres Medina;B01LQV1YHO;3
6/02/2014;Andrés Ramos Silva;B01KBH547A;1
7/02/2014;Ana Paula Sánchez Vargas;B00K15Q2B0;1
7/02/2014;Alejandro Ortega Salinas;B018IZ0SWI;1
7/02/2014;Sofía Castro Valdez;B01KBH547A;3
7/02/2014;Lucía Pérez Guerra;B016381QZA;1
8/02/2014;Sebastián Salazar Peña;B018IZ0SWI;1
8/02/2014;Carolina Espinoza Ramírez;B01KBH547A;2
8/02/2014;Manuel Rojas Cárdenas;B00J0O5J4Y;12
8/02/2014;Gabriela Navarro Gómez;B00NQGP42Y;1
8/02/2014;Andrés Soto Paredes;B00J0O5J4Y;3
8/02/2014;Víctor García Soto;B01KBH547A;2
8/02/2014;Camila Paredes Delgado;B00NQGP42Y;4
9/02/2014;Valeria Tapia Castro;B015YCRYZM;2
9/02/2014;Eduardo Morales Sánchez;B01EYT1URO;13
9/02/2014;María Fernández Vásquez;B00NQGP42Y;2
9/02/2014;Jorge Huamán Flores;B00K15Q2B0;2
9/02/2014;Daniela Chávez Paredes;B018IZ0SWI;1
9/02/2014;José López Ramírez;B00NQGP42Y;3
10/02/2014;Ana María Vargas Vega;B016B7INC2;3
10/02/2014;Carlos Rivera Castro;B015YCRYZM;2
11/02/2014;Brenda Torres Sánchez;B01EYT1URO;3
11/02/2014;Luis González López;B00F3J4B5S;2
11/02/2014;Patricia Medina Vargas;B00F3J4B5S;4
11/02/2014;Miguel García Huamán;B016381QZA;18
11/02/2014;Adriana Rodríguez Silva;B01DZJFWNC;3
11/02/2014;Juan Pérez Torres;B018IZ0SWI;3
11/02/2014;Sofía Castro Salinas;B00J0O5J4Y;1
11/02/2014;Diego Morales López;B01EYT1URO;3
11/02/2014;Mariana Rojas Medina;B01KBH547A;4
12/02/2014;Alejandro Soto Vásquez;B015YCRYZM;1
12/02/2014;Valentina Vega Ruiz;B018IZ0SWI;4
12/02/2014;Andrés Gómez Paredes;B016B7INC2;1
13/02/2014;Gabriela Huamán Castro;B01KBH547A;1
13/02/2014;Eduardo Torres López;B00F3J4B5S;3
13/02/2014;Carla Medina Vargas;B01KBH547A;3
14/02/2014;Ricardo García Huerta;B016381QZA;3
14/02/2014;Laura Chávez Castro;B015YCRYZM;1
14/02/2014;Carlos González Ruiz;B00F3J4B5S;1
14/02/2014;Silvia Castro López;B00K15Q2B0;4
14/02/2014;Juan Carlos Rodríguez Medina;B00K15Q2B0;3
15/02/2014;Luisa Fernández Vargas;B016B7INC2;2
15/02/2014;José Morales Huamán;B00NQGP42Y;3
15/02/2014;Ana Paula Rojas Torres;B01KBH547A;2
15/02/2014;Miguel Ángel Vega López;B01DZJFWNC;2
15/02/2014;Carla García Castro;B01EYT1URO;2
16/02/2014;Eduardo Castro Ruiz;B018IZ0SWI;2
16/02/2014;Gabriela Ramírez Vargas;B01DZJFWNC;3
16/02/2014;Ricardo Gómez Medina;B01LQV1YHO;3
17/02/2014;Laura Flores Salazar;B00F3J4B5S;18
17/02/2014;Juan Carlos Rodríguez Delgado;B01KBH547A;2
17/02/2014;Luisa García Vásquez;B00F3J4B5S;3
17/02/2014;Ana María Castro Salinas;B01DZJFWNC;3
17/02/2014;Ana María Castro Chávez;B00F3J4B5S;3
17/02/2014;Laura Flores Guzmán;B00K15Q2B0;13
18/02/2014;Carlos González Medina;B016B7INC2;4
18/02/2014;Miguel Ángel Vega Torres;B00F3J4B5S;4
19/02/2014;Rafaela Cáceres Castro;B00J0O5J4Y;4
19/02/2014;Carla Fernández Mendoza;B00K15Q2B0;17
20/02/2014;Adrián Vega Ruiz;B01KBH547A;2
20/02/2014;Diego Morales Castro;B00NQGP42Y;3
20/02/2014;Ricardo Gómez Vargas;B00F3J4B5S;3
21/02/2014;Silvia Ramírez Rivera;B01EYT1URO;1
21/02/2014;Eduardo Cáceres Salazar;B018IZ0SWI;2
21/02/2014;Juan Carlos Rodríguez Huamán;B01DZJFWNC;3
21/02/2014;Gabriela Rojas Huerta;B00K15Q2B0;1
21/02/2014;Verónica Quispe Rodríguez;B016B7INC2;3
22/02/2014;Julio Vargas López;B01LQV1YHO;16
22/02/2014;Valentina Torres Vega;B01EYT1URO;3
22/02/2014;Mariana Ruiz Cruz;B01LQV1YHO;1
22/02/2014;Luis Torres Medina;B01LQV1YHO;13
23/02/2014;Andrés Ramos Silva;B015YCRYZM;3
23/02/2014;Ana Paula Sánchez Vargas;B00K15Q2B0;1
23/02/2014;Alejandro Ortega Salinas;B00F3J4B5S;3
23/02/2014;Sofía Castro Valdez;B016B7INC2;3
23/02/2014;Lucía Pérez Guerra;B01KBH547A;4
24/02/2014;Sebastián Salazar Peña;B00NQGP42Y;1
24/02/2014;Carolina Espinoza Ramírez;B00NQGP42Y;1
24/02/2014;Manuel Rojas Cárdenas;B00F3J4B5S;3
24/02/2014;Gabriela Navarro Gómez;B00K15Q2B0;2
24/02/2014;Andrés Soto Paredes;B016381QZA;3
24/02/2014;Víctor García Soto;B01EYT1URO;2
25/02/2014;Camila Paredes Delgado;B00NQGP42Y;3
26/02/2014;Valeria Tapia Castro;B01DZJFWNC;20
26/02/2014;Eduardo Morales Sánchez;B01LQV1YHO;1
26/02/2014;María Fernández Vásquez;B016B7INC2;2
26/02/2014;Jorge Huamán Flores;B01KBH547A;2
26/02/2014;Daniela Chávez Paredes;B018IZ0SWI;3
26/02/2014;José López Ramírez;B015YCRYZM;2
26/02/2014;Ana María Vargas Vega;B018IZ0SWI;1
27/02/2014;Carlos Rivera Castro;B01KBH547A;1
27/02/2014;Brenda Torres Sánchez;B00NQGP42Y;2
27/02/2014;Luis González López;B01KBH547A;2
27/02/2014;Patricia Medina Vargas;B015YCRYZM;3
27/02/2014;Miguel García Huamán;B00J0O5J4Y;2
27/02/2014;Adriana Rodríguez Silva;B01KBH547A;2
28/02/2014;Juan Pérez Torres;B01KBH547A;2
28/02/2014;Sofía Castro Salinas;B018IZ0SWI;2
28/02/2014;Diego Morales López;B00F3J4B5S;3
28/02/2014;Mariana Rojas Medina;B016381QZA;24
28/02/2014;Alejandro Soto Vásquez;B01LQV1YHO;1
28/02/2014;Valentina Vega Ruiz;B00J0O5J4Y;2
1/03/2014;Andrés Gómez Paredes;B016381QZA;24
1/03/2014;Gabriela Huamán Castro;B018IZ0SWI;1
1/03/2014;Eduardo Torres López;B016381QZA;2
1/03/2014;Carla Medina Vargas;B016381QZA;1
1/03/2014;Ricardo García Huerta;B01LQV1YHO;1
2/03/2014;Laura Chávez Castro;B00F3J4B5S;1
2/03/2014;Carlos González Ruiz;B00NQGP42Y;3
3/03/2014;Silvia Castro López;B00NQGP42Y;2
3/03/2014;Juan Carlos Rodríguez Medina;B00F3J4B5S;2
3/03/2014;Luisa Fernández Vargas;B01EYT1URO;2
3/03/2014;José Morales Huamán;B018IZ0SWI;4
3/03/2014;Ana Paula Rojas Torres;B00K15Q2B0;3
3/03/2014;Miguel Ángel Vega López;B015YCRYZM;1
3/03/2014;Carla García Castro;B018IZ0SWI;2
4/03/2014;Eduardo Castro Ruiz;B018IZ0SWI;2
4/03/2014;Gabriela Ramírez Vargas;B00F3J4B5S;2
4/03/2014;Ricardo Gómez Medina;B018IZ0SWI;2
4/03/2014;Laura Flores Salazar;B00F3J4B5S;1
4/03/2014;Juan Carlos Rodríguez Delgado;B00K15Q2B0;10
4/03/2014;Luisa García Vásquez;B016B7INC2;1
4/03/2014;Ana María Castro Salinas;B00K15Q2B0;3
5/03/2014;Ana María Castro Chávez;B018IZ0SWI;2
5/03/2014;Laura Flores Guzmán;B018IZ0SWI;3
5/03/2014;Carlos González Medina;B01KBH547A;3
5/03/2014;Miguel Ángel Vega Torres;B01LQV1YHO;3
6/03/2014;Rafaela Cáceres Castro;B016B7INC2;21
6/03/2014;Carla Fernández Mendoza;B015YCRYZM;2
6/03/2014;Adrián Vega Ruiz;B00J0O5J4Y;7
6/03/2014;Diego Morales Castro;B01EYT1URO;2
6/03/2014;Ricardo Gómez Vargas;B01KBH547A;3
7/03/2014;Silvia Ramírez Rivera;B00K15Q2B0;2
7/03/2014;Eduardo Cáceres Salazar;B01DZJFWNC;2
7/03/2014;Juan Carlos Rodríguez Huamán;B00F3J4B5S;16
8/03/2014;Gabriela Rojas Huerta;B01DZJFWNC;1
8/03/2014;Verónica Quispe Rodríguez;B016381QZA;1
8/03/2014;Julio Vargas López;B016381QZA;4
8/03/2014;Valentina Torres Vega;B00NQGP42Y;3
8/03/2014;Mariana Ruiz Cruz;B00K15Q2B0;2
8/03/2014;Luis Torres Medina;B00K15Q2B0;9
9/03/2014;Andrés Ramos Silva;B00K15Q2B0;3
9/03/2014;Ana Paula Sánchez Vargas;B00F3J4B5S;2
9/03/2014;Alejandro Ortega Salinas;B00NQGP42Y;3
9/03/2014;Sofía Castro Valdez;B018IZ0SWI;2
9/03/2014;Lucía Pérez Guerra;B00NQGP42Y;2
9/03/2014;Sebastián Salazar Peña;B01EYT1URO;2
10/03/2014;Carolina Espinoza Ramírez;B018IZ0SWI;11
10/03/2014;Manuel Rojas Cárdenas;B01EYT1URO;2
10/03/2014;Gabriela Navarro Gómez;B016381QZA;3
10/03/2014;Andrés Soto Paredes;B01KBH547A;1
10/03/2014;Víctor García Soto;B01EYT1URO;2
11/03/2014;Camila Paredes Delgado;B00J0O5J4Y;1
11/03/2014;Valeria Tapia Castro;B015YCRYZM;3
11/03/2014;Eduardo Morales Sánchez;B01KBH547A;2
11/03/2014;María Fernández Vásquez;B018IZ0SWI;1
11/03/2014;Jorge Huamán Flores;B016B7INC2;1
11/03/2014;Daniela Chávez Paredes;B01KBH547A;3
11/03/2014;José López Ramírez;B01DZJFWNC;1
12/03/2014;Ana María Vargas Vega;B00F3J4B5S;3
12/03/2014;Carlos Rivera Castro;B00K15Q2B0;3
12/03/2014;Brenda Torres Sánchez;B018IZ0SWI;2
13/03/2014;Luis González López;B00NQGP42Y;4
13/03/2014;Patricia Medina Vargas;B00K15Q2B0;2
13/03/2014;Miguel García Huamán;B016381QZA;2
14/03/2014;Adriana Rodríguez Silva;B00F3J4B5S;1
14/03/2014;Juan Pérez Torres;B00F3J4B5S;3
14/03/2014;Sofía Castro Salinas;B00J0O5J4Y;2
14/03/2014;Diego Morales López;B018IZ0SWI;2
15/03/2014;Mariana Rojas Medina;B01KBH547A;8
15/03/2014;Alejandro Soto Vásquez;B018IZ0SWI;2
15/03/2014;Valentina Vega Ruiz;B018IZ0SWI;4
16/03/2014;Andrés Gómez Paredes;B018IZ0SWI;1
16/03/2014;Gabriela Huamán Castro;B018IZ0SWI;1
16/03/2014;Eduardo Torres López;B00K15Q2B0;1
16/03/2014;Carla Medina Vargas;B01LQV1YHO;2
17/03/2014;Ricardo García Huerta;B01EYT1URO;1
17/03/2014;Laura Chávez Castro;B01KBH547A;2
17/03/2014;Carlos González Ruiz;B00K15Q2B0;1
17/03/2014;Silvia Castro López;B018IZ0SWI;2
17/03/2014;Juan Carlos Rodríguez Medina;B00J0O5J4Y;3
17/03/2014;Luisa Fernández Vargas;B00F3J4B5S;2
18/03/2014;José Morales Huamán;B00K15Q2B0;3
18/03/2014;Ana Paula Rojas Torres;B016B7INC2;1
18/03/2014;Miguel Ángel Vega López;B01KBH547A;1
18/03/2014;Carla García Castro;B01EYT1URO;2
19/03/2014;Eduardo Castro Ruiz;B00F3J4B5S;1
20/03/2014;Gabriela Ramírez Vargas;B018IZ0SWI;1
20/03/2014;Ricardo Gómez Medina;B01LQV1YHO;2
20/03/2014;Laura Flores Salazar;B01KBH547A;2
20/03/2014;Juan Carlos Rodríguez Delgado;B00K15Q2B0;2
20/03/2014;Luisa García Vásquez;B00J0O5J4Y;3
21/03/2014;Ana María Castro Salinas;B00NQGP42Y;1
21/03/2014;Ana María Castro Chávez;B01LQV1YHO;4
21/03/2014;Laura Flores Guzmán;B01DZJFWNC;13
21/03/2014;Carlos González Medina;B01KBH547A;2
21/03/2014;Miguel Ángel Vega Torres;B016381QZA;1
21/03/2014;Rafaela Cáceres Castro;B00F3J4B5S;2
21/03/2014;Carla Fernández Mendoza;B01KBH547A;1
21/03/2014;Adrián Vega Ruiz;B016381QZA;4
22/03/2014;Diego Morales Castro;B015YCRYZM;1
22/03/2014;Ricardo Gómez Vargas;B00K15Q2B0;1
22/03/2014;Silvia Ramírez Rivera;B01EYT1URO;3
22/03/2014;Eduardo Cáceres Salazar;B01KBH547A;3
23/03/2014;Juan Carlos Rodríguez Huamán;B01LQV1YHO;2
23/03/2014;Gabriela Rojas Huerta;B00F3J4B5S;4
23/03/2014;Verónica Quispe Rodríguez;B01KBH547A;2
23/03/2014;Julio Vargas López;B00K15Q2B0;1
23/03/2014;Valentina Torres Vega;B00NQGP42Y;1
24/03/2014;Mariana Ruiz Cruz;B018IZ0SWI;1
24/03/2014;Luis Torres Medina;B01DZJFWNC;2
24/03/2014;Andrés Ramos Silva;B00NQGP42Y;3
24/03/2014;Ana Paula Sánchez Vargas;B00NQGP42Y;2
24/03/2014;Alejandro Ortega Salinas;B00NQGP42Y;17
24/03/2014;Sofía Castro Valdez;B018IZ0SWI;3
25/03/2014;Lucía Pérez Guerra;B018IZ0SWI;3
25/03/2014;Sebastián Salazar Peña;B01DZJFWNC;3
25/03/2014;Carolina Espinoza Ramírez;B00K15Q2B0;2
25/03/2014;Manuel Rojas Cárdenas;B00NQGP42Y;2
25/03/2014;Gabriela Navarro Gómez;B00NQGP42Y;3
25/03/2014;Andrés Soto Paredes;B01KBH547A;1
25/03/2014;Víctor García Soto;B018IZ0SWI;2
26/03/2014;Camila Paredes Delgado;B00F3J4B5S;3
26/03/2014;Valeria Tapia Castro;B018IZ0SWI;2
26/03/2014;Eduardo Morales Sánchez;B01EYT1URO;13
26/03/2014;María Fernández Vásquez;B00NQGP42Y;2
26/03/2014;Jorge Huamán Flores;B01DZJFWNC;3
27/03/2014;Daniela Chávez Paredes;B00NQGP42Y;2
27/03/2014;José López Ramírez;B018IZ0SWI;2
27/03/2014;Ana María Vargas Vega;B01LQV1YHO;2
27/03/2014;Carlos Rivera Castro;B01KBH547A;2
28/03/2014;Brenda Torres Sánchez;B01KBH547A;20
28/03/2014;Luis González López;B00F3J4B5S;2
28/03/2014;Patricia Medina Vargas;B00NQGP42Y;1
28/03/2014;Miguel García Huamán;B00F3J4B5S;1
28/03/2014;Adriana Rodríguez Silva;B016381QZA;17
28/03/2014;Juan Pérez Torres;B01KBH547A;1
28/03/2014;Sofía Castro Salinas;B018IZ0SWI;3
28/03/2014;Diego Morales López;B01KBH547A;3
29/03/2014;Mariana Rojas Medina;B018IZ0SWI;2
29/03/2014;Alejandro Soto Vásquez;B00K15Q2B0;3
29/03/2014;Valentina Vega Ruiz;B01LQV1YHO;1
30/03/2014;Andrés Gómez Paredes;B018IZ0SWI;3
30/03/2014;Gabriela Huamán Castro;B01KBH547A;3
30/03/2014;Eduardo Torres López;B016381QZA;25
30/03/2014;Carla Medina Vargas;B01EYT1URO;2
31/03/2014;Ricardo García Huerta;B01EYT1URO;3
31/03/2014;Laura Chávez Castro;B01KBH547A;3
31/03/2014;Carlos González Ruiz;B018IZ0SWI;16
31/03/2014;Silvia Castro López;B016381QZA;18
31/03/2014;Juan Carlos Rodríguez Medina;B01KBH547A;2
1/04/2014;Luisa Fernández Vargas;B015YCRYZM;21
2/04/2014;José Morales Huamán;B01EYT1URO;3
2/04/2014;Ana Paula Rojas Torres;B018IZ0SWI;1
2/04/2014;Miguel Ángel Vega López;B01KBH547A;2
3/04/2014;Carla García Castro;B00K15Q2B0;2
3/04/2014;Eduardo Castro Ruiz;B00NQGP42Y;1
4/04/2014;Gabriela Ramírez Vargas;B018IZ0SWI;23
4/04/2014;Ricardo Gómez Medina;B018IZ0SWI;1
4/04/2014;Laura Flores Salazar;B01EYT1URO;1
5/04/2014;Juan Carlos Rodríguez Delgado;B018IZ0SWI;1
5/04/2014;Luisa García Vásquez;B00F3J4B5S;1
5/04/2014;Ana María Castro Salinas;B01EYT1URO;2
5/04/2014;Ana María Castro Chávez;B01EYT1URO;3
6/04/2014;Laura Flores Guzmán;B00F3J4B5S;2
6/04/2014;Carlos González Medina;B00F3J4B5S;1
7/04/2014;Miguel Ángel Vega Torres;B00NQGP42Y;15
7/04/2014;Rafaela Cáceres Castro;B018IZ0SWI;3
7/04/2014;Carla Fernández Mendoza;B01KBH547A;2
7/04/2014;Adrián Vega Ruiz;B018IZ0SWI;3
8/04/2014;Diego Morales Castro;B00K15Q2B0;2
8/04/2014;Ricardo Gómez Vargas;B01KBH547A;1
8/04/2014;Silvia Ramírez Rivera;B01DZJFWNC;3
8/04/2014;Eduardo Cáceres Salazar;B016381QZA;3
8/04/2014;Juan Carlos Rodríguez Huamán;B00K15Q2B0;3
9/04/2014;Gabriela Rojas Huerta;B016B7INC2;1
9/04/2014;Verónica Quispe Rodríguez;B01KBH547A;1
9/04/2014;Julio Vargas López;B00K15Q2B0;3
9/04/2014;Valentina Torres Vega;B018IZ0SWI;14
